entity_id,state,last_changed
sensor.plantesp_plants_1_moisture,63.79,2024-03-13T01:03:05.000Z
sensor.plantesp_plants_1_moisture,63.68,2024-03-13T01:08:05.000Z
sensor.plantesp_plants_1_moisture,63.65,2024-03-13T01:13:05.000Z
sensor.plantesp_plants_1_moisture,63.53,2024-03-13T01:18:05.000Z
sensor.plantesp_plants_1_moisture,63.41,2024-03-13T01:23:05.000Z
sensor.plantesp_plants_1_moisture,63.26,2024-03-13T01:28:05.000Z
sensor.plantesp_plants_1_moisture,63.17,2024-03-13T01:33:05.000Z
sensor.plantesp_plants_1_moisture,63.05,2024-03-13T01:38:05.000Z
sensor.plantesp_plants_1_moisture,62.97,2024-03-13T01:43:05.000Z
sensor.plantesp_plants_1_moisture,62.86,2024-03-13T01:48:05.000Z
sensor.plantesp_plants_1_moisture,62.81,2024-03-13T01:53:05.000Z
sensor.plantesp_plants_1_moisture,62.78,2024-03-13T01:58:05.000Z
sensor.plantesp_plants_1_moisture,62.76,2024-03-13T02:03:05.000Z
sensor.plantesp_plants_1_moisture,62.7,2024-03-13T02:08:05.000Z
sensor.plantesp_plants_1_moisture,62.65,2024-03-13T02:13:05.000Z
sensor.plantesp_plants_1_moisture,62.54,2024-03-13T02:18:05.000Z
sensor.plantesp_plants_1_moisture,62.42,2024-03-13T02:23:05.000Z
sensor.plantesp_plants_1_moisture,62.31,2024-03-13T02:28:05.000Z
sensor.plantesp_plants_1_moisture,62.18,2024-03-13T02:33:05.000Z
sensor.plantesp_plants_1_moisture,62.12,2024-03-13T02:38:05.000Z
sensor.plantesp_plants_1_moisture,61.99,2024-03-13T02:43:05.000Z
sensor.plantesp_plants_1_moisture,61.89,2024-03-13T02:48:05.000Z
sensor.plantesp_plants_1_moisture,61.85,2024-03-13T02:53:05.000Z
sensor.plantesp_plants_1_moisture,61.74,2024-03-13T02:58:05.000Z
sensor.plantesp_plants_1_moisture,61.59,2024-03-13T03:03:05.000Z
sensor.plantesp_plants_1_moisture,61.46,2024-03-13T03:08:05.000Z
sensor.plantesp_plants_1_moisture,61.35,2024-03-13T03:13:05.000Z
sensor.plantesp_plants_1_moisture,61.31,2024-03-13T03:18:05.000Z
sensor.plantesp_plants_1_moisture,61.17,2024-03-13T03:23:05.000Z
sensor.plantesp_plants_1_moisture,61.15,2024-03-13T03:28:05.000Z
sensor.plantesp_plants_1_moisture,61.03,2024-03-13T03:33:05.000Z
sensor.plantesp_plants_1_moisture,61.01,2024-03-13T03:38:05.000Z
sensor.plantesp_plants_1_moisture,60.89,2024-03-13T03:43:05.000Z
sensor.plantesp_plants_1_moisture,60.77,2024-03-13T03:48:05.000Z
sensor.plantesp_plants_1_moisture,60.68,2024-03-13T03:53:05.000Z
sensor.plantesp_plants_1_moisture,60.58,2024-03-13T03:58:05.000Z
sensor.plantesp_plants_1_moisture,60.51,2024-03-13T04:03:05.000Z
sensor.plantesp_plants_1_moisture,60.4,2024-03-13T04:08:05.000Z
sensor.plantesp_plants_1_moisture,60.26,2024-03-13T04:13:05.000Z
sensor.plantesp_plants_1_moisture,60.14,2024-03-13T04:18:05.000Z
sensor.plantesp_plants_1_moisture,60.12,2024-03-13T04:23:05.000Z
